date,pm25,pm10,no2,so2,co,o3,temperature,humidity,wind_speed,rainfall,industrial_emissions,traffic_density,vegetation_index,aqi,aqi_lag_1,aqi_lag_7,aqi_roll_7,day_of_week,month,is_holiday
2025-06-19,80.0,201.0,59.7,19.4,2.22,36.8,25.8,66.1,3.5,0.0,0.66,0.77,0.19,155,153.0,169.0,151.42857142857142,3,6,0
2025-06-20,78.7,174.0,52.7,17.4,1.77,28.4,26.1,51.4,4.18,0.0,0.63,0.79,0.2,135,155.0,127.0,149.42857142857142,4,6,0
2025-06-21,76.1,176.7,55.8,18.6,1.84,30.5,27.9,51.5,3.84,0.0,0.76,0.58,0.21,138,135.0,151.0,150.57142857142858,5,6,0
2025-06-22,59.3,146.6,39.4,11.5,1.56,20.0,27.2,53.0,3.56,1.5,0.46,0.62,0.2,105,138.0,119.0,148.71428571428572,6,6,0
2025-06-23,79.0,174.9,56.8,19.8,1.98,25.7,29.3,45.7,4.09,19.7,0.73,0.78,0.19,138,105.0,162.0,146.71428571428572,0,6,0
2025-06-24,78.1,192.2,62.5,18.6,2.23,31.0,27.4,54.0,4.46,0.0,0.75,0.78,0.2,148,138.0,179.0,143.28571428571428,1,6,0
2025-06-25,76.7,178.3,55.7,18.6,2.05,29.8,26.7,53.2,3.98,3.9,0.72,0.81,0.2,137,148.0,153.0,138.85714285714286,2,6,0
2025-06-26,76.6,178.9,57.1,16.1,2.15,27.0,31.0,58.0,3.68,0.0,0.64,0.77,0.19,141,137.0,155.0,136.57142857142858,3,6,0
2025-06-27,92.1,200.7,59.7,18.7,2.28,34.3,28.5,59.3,2.91,0.4,0.68,0.84,0.2,163,141.0,135.0,134.57142857142858,4,6,0
2025-06-28,69.9,182.9,55.1,19.1,1.99,26.1,29.0,67.3,3.08,1.5,0.66,0.64,0.2,139,163.0,138.0,138.57142857142858,5,6,0
2025-06-29,57.7,136.5,38.0,12.4,1.73,24.3,26.8,63.0,3.56,0.0,0.43,0.64,0.19,105,139.0,105.0,138.71428571428572,6,6,0
2025-06-30,82.6,203.5,56.5,20.4,2.3,31.9,28.1,55.7,3.4,0.7,0.67,0.79,0.19,153,105.0,138.0,138.71428571428572,0,6,0
2025-07-01,80.1,182.1,53.4,17.3,1.97,34.4,29.1,54.4,3.67,7.4,0.59,0.81,0.2,143,153.0,148.0,140.85714285714286,1,7,0
2025-07-02,92.3,224.6,66.1,18.5,2.29,40.5,27.2,61.7,3.84,2.3,0.71,0.83,0.2,165,143.0,137.0,140.14285714285714,2,7,0
2025-07-03,68.4,159.8,52.9,17.4,1.86,25.9,29.5,53.0,4.15,3.9,0.62,0.76,0.2,128,165.0,141.0,144.14285714285714,3,7,0
2025-07-04,70.6,185.5,53.2,16.5,1.99,24.4,28.1,69.1,3.81,2.7,0.65,0.77,0.2,132,128.0,163.0,142.28571428571428,4,7,0
2025-07-05,64.5,139.3,45.4,16.7,1.75,17.5,28.5,66.1,4.16,0.0,0.66,0.63,0.2,118,132.0,139.0,137.85714285714286,5,7,0
2025-07-06,47.9,123.0,35.9,11.8,1.31,12.9,28.1,58.2,3.93,10.2,0.44,0.59,0.19,92,118.0,105.0,134.85714285714286,6,7,0
2025-07-07,87.8,205.4,60.4,17.5,2.17,28.3,31.8,52.3,2.73,0.0,0.67,0.76,0.2,155,92.0,153.0,133.0,0,7,0
2025-07-08,72.8,168.4,52.9,17.0,1.76,31.9,29.0,68.0,3.37,6.7,0.61,0.78,0.2,134,155.0,143.0,133.28571428571428,1,7,0
2025-07-09,67.1,182.6,51.1,20.0,2.19,29.3,27.4,61.0,3.87,5.2,0.67,0.83,0.19,138,134.0,165.0,132.0,2,7,0
2025-07-10,73.2,185.9,50.0,16.9,1.94,28.9,30.2,68.1,3.25,8.7,0.56,0.8,0.19,135,138.0,128.0,128.14285714285714,3,7,0
2025-07-11,69.8,154.7,52.3,16.9,1.97,21.1,27.2,54.3,4.35,22.1,0.63,0.8,0.18,133,135.0,132.0,129.14285714285714,4,7,0
2025-07-12,70.1,181.3,56.4,19.2,1.86,24.6,29.3,59.6,4.93,0.0,0.72,0.66,0.19,136,133.0,118.0,129.28571428571428,5,7,0
2025-07-13,41.5,86.9,28.3,10.8,1.44,18.0,26.1,63.0,4.76,0.0,0.4,0.63,0.19,82,136.0,92.0,131.85714285714286,6,7,0
2025-07-14,74.0,166.5,51.6,16.8,1.7,29.0,27.0,63.5,3.92,0.0,0.58,0.8,0.19,134,82.0,155.0,130.42857142857142,0,7,0
2025-07-15,70.6,170.5,49.5,15.0,1.83,24.0,29.3,61.4,4.96,0.0,0.64,0.78,0.2,121,134.0,134.0,127.42857142857143,1,7,0
2025-07-16,75.9,172.4,55.0,17.4,1.99,29.7,30.1,67.1,4.17,7.2,0.62,0.79,0.19,136,121.0,138.0,125.57142857142857,2,7,0
2025-07-17,70.4,161.3,53.3,17.8,1.87,31.9,29.2,59.0,3.9,0.0,0.63,0.76,0.19,131,136.0,135.0,125.28571428571429,3,7,0
2025-07-18,79.4,182.9,56.4,16.8,2.14,29.1,28.8,63.9,3.75,0.0,0.63,0.68,0.19,142,131.0,133.0,124.71428571428571,4,7,0
2025-07-19,57.6,156.0,43.3,16.4,1.48,21.3,28.5,65.6,3.96,7.3,0.64,0.62,0.19,107,142.0,136.0,126.0,5,7,0
2025-07-20,55.7,122.0,36.9,12.9,1.66,21.5,26.7,67.9,3.92,3.3,0.46,0.66,0.19,105,107.0,82.0,121.85714285714286,6,7,0
2025-07-21,72.2,170.5,52.9,16.3,2.06,36.0,27.8,69.2,4.27,11.8,0.62,0.81,0.19,138,105.0,134.0,125.14285714285714,0,7,0
2025-07-22,69.8,189.3,54.7,17.8,2.14,22.2,28.2,60.4,4.28,0.9,0.59,0.81,0.19,136,138.0,121.0,125.71428571428571,1,7,0
2025-07-23,91.8,234.7,66.1,19.5,2.28,38.2,30.5,58.7,4.2,0.0,0.63,0.82,0.19,169,136.0,136.0,127.85714285714286,2,7,0
2025-07-24,80.3,187.8,58.7,19.3,1.99,30.1,29.4,73.1,4.48,0.0,0.69,0.77,0.19,145,169.0,131.0,132.57142857142858,3,7,0
2025-07-25,60.9,134.6,45.9,14.4,1.84,24.3,26.2,68.7,4.95,5.5,0.58,0.77,0.19,111,145.0,142.0,134.57142857142858,4,7,0
2025-07-26,53.1,145.2,41.2,13.2,1.5,16.9,29.3,63.7,4.82,9.3,0.54,0.59,0.18,99,111.0,107.0,130.14285714285714,5,7,0
2025-07-27,46.7,129.7,34.9,12.2,1.22,16.7,28.2,75.5,3.37,0.0,0.45,0.59,0.2,90,99.0,105.0,129.0,6,7,0
2025-07-28,82.7,196.6,55.4,17.8,2.04,33.3,27.8,68.7,2.74,2.3,0.58,0.78,0.2,147,90.0,138.0,126.85714285714286,0,7,0
2025-07-29,53.8,130.0,44.3,11.1,1.73,29.7,29.7,74.3,4.85,0.0,0.47,0.8,0.18,105,147.0,136.0,128.14285714285714,1,7,0
2025-07-30,85.9,197.1,56.1,17.3,2.2,34.4,30.3,69.1,3.48,0.0,0.62,0.74,0.19,152,105.0,169.0,123.71428571428571,2,7,0
2025-07-31,60.3,148.4,48.8,15.6,1.66,20.2,30.1,79.4,4.18,9.5,0.55,0.73,0.19,115,152.0,145.0,121.28571428571429,3,7,0
2025-08-01,70.6,174.8,50.5,16.2,1.63,26.4,27.4,78.2,3.62,2.5,0.57,0.74,0.19,132,115.0,111.0,117.0,4,8,0
2025-08-02,61.8,168.2,50.6,15.0,1.74,23.1,28.2,68.5,3.26,7.1,0.59,0.61,0.19,120,132.0,99.0,120.0,5,8,0
2025-08-03,53.7,137.6,35.4,10.7,1.32,13.9,29.1,75.0,4.67,0.0,0.41,0.54,0.19,100,120.0,90.0,123.0,6,8,0
2025-08-04,64.9,137.9,47.1,14.0,1.44,21.2,30.0,73.7,4.82,0.8,0.6,0.64,0.18,113,100.0,147.0,124.42857142857143,0,8,0
2025-08-05,79.8,196.0,52.1,14.8,1.7,32.2,27.8,77.6,4.03,0.0,0.54,0.71,0.18,142,113.0,105.0,119.57142857142857,1,8,0
2025-08-06,85.3,197.2,53.9,17.8,2.12,28.0,28.2,66.3,2.83,0.0,0.59,0.68,0.18,150,142.0,152.0,124.85714285714286,2,8,0
2025-08-07,67.0,160.2,47.1,14.4,1.76,27.5,26.8,74.9,4.06,24.0,0.55,0.7,0.18,119,150.0,115.0,124.57142857142857,3,8,0
2025-08-08,65.7,174.8,51.6,15.0,1.8,27.5,26.6,77.0,4.64,4.7,0.6,0.71,0.19,125,119.0,132.0,125.14285714285714,4,8,0
2025-08-09,68.2,154.5,47.8,15.9,1.84,23.3,29.6,63.3,3.52,1.6,0.59,0.56,0.18,126,125.0,120.0,124.14285714285714,5,8,0
2025-08-10,32.2,81.4,23.0,9.0,1.18,9.2,30.4,66.5,4.53,6.2,0.36,0.61,0.19,63,126.0,100.0,125.0,6,8,0
2025-08-11,69.0,149.5,47.5,17.6,1.92,28.7,28.2,62.5,4.42,16.5,0.61,0.72,0.19,118,63.0,113.0,119.71428571428571,0,8,0
2025-08-12,61.1,140.3,45.6,13.1,1.61,25.7,29.7,71.7,4.78,10.5,0.52,0.72,0.18,118,118.0,142.0,120.42857142857143,1,8,0
2025-08-13,71.4,165.2,50.4,17.1,1.83,25.5,28.7,76.9,4.51,0.0,0.59,0.72,0.19,125,118.0,150.0,117.0,2,8,0
2025-08-14,60.9,157.7,45.0,15.1,1.42,20.3,27.2,81.2,3.86,8.6,0.57,0.65,0.19,106,125.0,119.0,113.42857142857143,3,8,0
2025-08-15,73.7,146.5,49.8,15.5,1.8,25.5,28.6,74.3,5.17,0.0,0.64,0.73,0.19,124,106.0,125.0,111.57142857142857,4,8,1
2025-08-16,65.4,157.3,50.7,15.2,1.63,22.7,30.3,82.4,4.37,0.0,0.53,0.55,0.18,121,124.0,126.0,111.42857142857143,5,8,0
2025-08-17,54.2,128.2,36.2,10.8,1.47,11.8,27.9,67.7,4.45,2.3,0.37,0.57,0.19,95,121.0,63.0,110.71428571428571,6,8,0
2025-08-18,70.4,151.3,44.8,14.8,1.67,29.0,30.3,66.4,3.91,5.4,0.54,0.64,0.19,116,95.0,118.0,115.28571428571429,0,8,0
2025-08-19,64.9,156.8,43.6,16.4,1.77,26.0,23.9,74.9,4.21,0.0,0.52,0.62,0.18,121,116.0,118.0,115.0,1,8,0
2025-08-20,64.2,152.3,48.6,16.4,1.89,26.7,29.1,77.4,3.95,0.0,0.58,0.71,0.19,125,121.0,125.0,115.42857142857143,2,8,0
2025-08-21,38.1,105.3,32.3,11.4,1.56,14.1,27.9,75.6,4.38,23.1,0.45,0.69,0.19,80,125.0,106.0,115.42857142857143,3,8,0
2025-08-22,47.5,101.3,36.3,11.0,1.3,13.0,27.3,65.7,5.52,0.0,0.48,0.63,0.18,83,80.0,124.0,111.71428571428571,4,8,0
2025-08-23,56.7,129.9,44.5,12.4,1.44,22.2,27.8,75.9,3.67,9.8,0.48,0.5,0.18,113,83.0,121.0,105.85714285714286,5,8,0
2025-08-24,47.2,123.8,32.1,10.9,1.36,12.2,24.6,70.1,3.53,20.7,0.4,0.57,0.19,88,113.0,95.0,104.71428571428571,6,8,0
2025-08-25,59.4,144.9,44.3,15.8,1.46,27.8,27.2,80.2,5.38,1.6,0.61,0.61,0.18,106,88.0,116.0,103.71428571428571,0,8,0
2025-08-26,62.3,146.3,45.5,12.7,1.85,18.7,28.0,79.0,4.37,6.7,0.52,0.72,0.19,112,106.0,121.0,102.28571428571429,1,8,0
2025-08-27,68.1,159.8,49.9,13.8,1.68,21.4,29.6,72.7,4.1,19.8,0.52,0.62,0.19,122,112.0,125.0,101.0,2,8,0
2025-08-28,68.3,168.3,49.2,15.2,1.71,24.1,26.6,75.1,5.12,0.0,0.53,0.68,0.18,123,122.0,80.0,100.57142857142857,3,8,0
2025-08-29,81.0,184.3,55.3,16.1,1.86,33.7,26.1,72.7,4.14,9.6,0.58,0.63,0.17,140,123.0,83.0,106.71428571428571,4,8,0
2025-08-30,40.1,108.8,33.1,10.2,1.28,14.3,26.5,77.9,5.6,2.8,0.48,0.53,0.18,78,140.0,113.0,114.85714285714286,5,8,0
2025-08-31,39.2,95.1,30.7,9.3,1.13,9.3,28.5,83.3,4.91,0.0,0.37,0.5,0.18,75,78.0,88.0,109.85714285714286,6,8,0
2025-09-01,48.4,130.3,41.5,11.7,1.36,21.3,27.6,73.8,4.21,28.3,0.57,0.63,0.18,92,75.0,106.0,108.0,0,9,0
2025-09-02,58.3,134.4,38.6,12.6,1.69,22.3,26.2,81.5,5.79,23.1,0.54,0.64,0.19,101,92.0,112.0,106.0,1,9,0
2025-09-03,56.4,128.5,39.1,13.8,1.36,20.5,27.7,76.6,4.13,5.1,0.53,0.59,0.17,98,101.0,122.0,104.42857142857143,2,9,0
2025-09-04,60.5,129.6,42.0,12.9,1.61,23.6,27.0,75.5,4.94,15.8,0.57,0.66,0.18,107,98.0,123.0,101.0,3,9,0
2025-09-05,41.9,93.0,29.3,7.8,1.25,19.0,28.3,79.2,4.67,14.9,0.38,0.61,0.18,70,107.0,140.0,98.71428571428571,4,9,0
2025-09-06,41.9,100.7,38.2,11.5,1.06,22.1,25.7,74.8,5.27,3.1,0.55,0.49,0.19,83,70.0,78.0,88.71428571428571,5,9,0
2025-09-07,29.1,51.9,18.7,7.6,0.86,3.7,26.2,77.4,5.42,14.1,0.34,0.47,0.19,44,83.0,75.0,89.42857142857143,6,9,0
2025-09-08,48.6,97.5,27.6,10.4,1.11,19.7,26.0,74.4,4.5,0.3,0.42,0.52,0.18,80,44.0,92.0,85.0,0,9,0
2025-09-09,61.0,130.5,42.0,13.5,1.64,23.0,24.3,90.4,4.02,7.3,0.54,0.61,0.18,107,80.0,101.0,83.28571428571429,1,9,0
2025-09-10,68.1,165.4,47.6,15.0,1.62,24.7,26.9,81.0,4.75,2.1,0.58,0.71,0.18,114,107.0,98.0,84.14285714285714,2,9,0
2025-09-11,61.8,168.5,47.5,13.0,1.8,19.9,26.7,77.5,4.06,1.0,0.5,0.65,0.18,121,114.0,107.0,86.42857142857143,3,9,0
2025-09-12,46.2,128.3,38.0,13.0,1.47,16.0,26.3,82.3,5.67,0.0,0.56,0.61,0.18,87,121.0,70.0,88.42857142857143,4,9,0
2025-09-13,54.0,123.1,41.9,14.4,1.49,18.0,25.9,80.9,4.53,9.5,0.59,0.48,0.18,102,87.0,83.0,90.85714285714286,5,9,0
2025-09-14,54.9,125.3,34.2,11.3,1.38,21.7,24.0,80.5,4.23,3.3,0.4,0.49,0.17,96,102.0,44.0,93.57142857142857,6,9,0
2025-09-15,58.5,135.3,46.4,15.8,1.6,26.1,25.4,84.9,4.55,0.0,0.59,0.63,0.18,112,96.0,80.0,101.0,0,9,0
2025-09-16,62.3,136.2,41.9,13.0,1.48,16.0,25.5,85.8,3.62,0.5,0.54,0.56,0.17,109,112.0,107.0,105.57142857142857,1,9,0
2025-09-17,67.5,142.4,49.1,15.4,1.82,23.8,24.7,79.5,3.84,0.0,0.51,0.65,0.17,115,109.0,114.0,105.85714285714286,2,9,0
2025-09-18,57.2,140.1,39.6,12.4,1.44,23.3,25.6,79.5,5.13,0.0,0.42,0.63,0.18,100,115.0,121.0,106.0,3,9,0
2025-09-19,60.8,138.6,41.4,13.3,1.49,21.4,26.3,81.1,4.01,12.5,0.49,0.63,0.17,109,100.0,87.0,103.0,4,9,0
2025-09-20,47.8,128.5,35.7,12.0,1.39,19.6,28.5,71.2,3.77,0.0,0.46,0.5,0.18,92,109.0,102.0,106.14285714285714,5,9,0
2025-09-21,43.2,112.9,33.3,10.8,1.14,16.7,25.8,75.3,4.71,7.9,0.43,0.48,0.18,83,92.0,96.0,104.71428571428571,6,9,0
2025-09-22,48.1,123.2,33.6,12.6,1.21,16.0,25.9,89.8,5.09,17.4,0.49,0.63,0.17,81,83.0,112.0,102.85714285714286,0,9,0
2025-09-23,61.1,127.0,44.4,12.5,1.42,20.8,25.3,91.4,4.8,7.7,0.51,0.62,0.18,107,81.0,109.0,98.42857142857143,1,9,0
2025-09-24,57.5,146.4,42.4,12.9,1.47,18.1,22.4,82.0,4.95,0.0,0.53,0.59,0.18,105,107.0,115.0,98.14285714285714,2,9,0
2025-09-25,57.1,147.2,40.4,14.6,1.52,18.1,25.2,86.3,3.89,0.0,0.5,0.58,0.18,106,105.0,100.0,96.71428571428571,3,9,0
2025-09-26,55.6,138.0,49.1,14.2,1.63,25.1,25.2,85.1,3.48,16.3,0.59,0.6,0.18,112,106.0,109.0,97.57142857142857,4,9,0
2025-09-27,38.7,107.2,32.4,11.7,1.28,13.4,28.8,95.0,5.22,0.2,0.47,0.53,0.17,76,112.0,92.0,98.0,5,9,0
2025-09-28,46.8,99.8,31.1,11.2,1.15,13.3,24.7,89.4,4.11,16.6,0.36,0.44,0.17,75,76.0,83.0,95.71428571428571,6,9,0
2025-09-29,57.3,142.7,41.4,13.1,1.53,21.4,25.4,83.3,4.14,0.0,0.46,0.54,0.17,111,75.0,81.0,94.57142857142857,0,9,0
2025-09-30,41.5,90.1,31.7,11.0,1.21,12.7,24.8,79.2,5.08,22.4,0.43,0.61,0.17,74,111.0,107.0,98.85714285714286,1,9,0
2025-10-01,59.1,126.8,40.6,11.7,1.55,24.0,23.0,76.1,4.6,0.0,0.47,0.6,0.19,102,74.0,105.0,94.14285714285714,2,10,0
2025-10-02,41.5,123.4,30.9,12.3,1.44,14.3,26.4,85.2,4.53,0.8,0.5,0.61,0.18,82,102.0,106.0,93.71428571428571,3,10,1
2025-10-03,46.8,109.4,38.8,11.7,1.34,11.9,25.7,80.5,5.54,2.0,0.48,0.61,0.17,84,82.0,112.0,90.28571428571429,4,10,0
2025-10-04,56.1,132.2,41.0,12.9,1.3,21.3,25.7,77.3,3.84,0.0,0.47,0.48,0.17,97,84.0,76.0,86.28571428571429,5,10,0
2025-10-05,32.7,70.9,23.1,7.1,0.92,9.6,23.0,81.2,4.77,0.2,0.3,0.53,0.18,59,97.0,75.0,89.28571428571429,6,10,0
2025-10-06,59.2,113.3,35.3,10.7,1.21,17.8,26.4,79.1,4.23,0.0,0.5,0.54,0.18,92,59.0,111.0,87.0,0,10,0
2025-10-07,42.4,120.6,35.0,11.6,1.39,21.9,22.1,93.1,4.34,2.3,0.43,0.57,0.18,86,92.0,74.0,84.28571428571429,1,10,0
2025-10-08,61.3,126.7,42.7,11.8,1.6,21.4,25.0,89.1,5.08,0.0,0.54,0.6,0.17,106,86.0,102.0,86.0,2,10,0
2025-10-09,53.8,125.0,40.4,12.6,1.48,20.1,27.3,84.7,4.45,0.0,0.51,0.54,0.17,99,106.0,82.0,86.57142857142857,3,10,0
2025-10-10,42.7,95.6,31.0,11.1,1.2,10.3,22.5,92.2,4.45,0.0,0.43,0.6,0.17,73,99.0,84.0,89.0,4,10,0
2025-10-11,41.6,96.0,32.7,10.9,1.31,13.0,23.0,85.2,4.76,0.0,0.49,0.54,0.17,73,73.0,97.0,87.42857142857143,5,10,0
2025-10-12,38.9,95.7,31.8,11.2,1.09,15.7,23.9,80.6,3.88,0.0,0.33,0.49,0.16,75,73.0,59.0,84.0,6,10,0
2025-10-13,69.4,165.6,49.0,16.2,1.84,22.0,22.9,92.5,3.57,0.0,0.52,0.62,0.17,125,75.0,92.0,86.28571428571429,0,10,0
2025-10-14,47.5,131.0,38.3,12.8,1.41,20.5,21.3,87.6,3.43,0.0,0.57,0.57,0.17,96,125.0,86.0,91.0,1,10,0
2025-10-15,60.6,144.9,43.0,12.7,1.48,22.3,23.6,79.8,2.86,0.0,0.41,0.59,0.17,107,96.0,106.0,92.42857142857143,2,10,0
2025-10-16,50.6,109.5,40.6,12.3,1.45,18.3,21.8,84.0,5.25,0.0,0.51,0.61,0.19,90,107.0,99.0,92.57142857142857,3,10,0
2025-10-17,74.9,170.3,56.1,14.0,1.86,31.5,24.1,80.6,3.34,0.0,0.5,0.61,0.17,133,90.0,73.0,91.28571428571429,4,10,0
2025-10-18,61.4,147.2,40.3,12.9,1.53,23.1,21.9,78.1,3.85,6.9,0.54,0.54,0.17,106,133.0,73.0,99.85714285714286,5,10,0
2025-10-19,51.3,125.8,35.1,10.4,1.34,22.1,25.5,89.6,3.8,0.0,0.36,0.52,0.18,91,106.0,75.0,104.57142857142857,6,10,0
2025-10-20,58.2,125.6,36.8,11.1,1.52,18.9,21.9,94.5,4.13,0.0,0.47,0.59,0.17,105,91.0,125.0,106.85714285714286,0,10,0
2025-10-21,45.2,116.0,37.1,11.9,1.62,17.7,22.5,78.0,4.41,0.0,0.49,0.64,0.17,87,105.0,96.0,104.0,1,10,0
2025-10-22,60.6,132.4,42.5,13.6,1.78,23.9,24.2,87.8,4.42,0.0,0.47,0.66,0.17,114,87.0,107.0,102.71428571428571,2,10,0
2025-10-23,76.8,173.5,55.1,14.6,1.95,25.9,21.0,81.7,3.53,0.0,0.56,0.68,0.18,133,114.0,90.0,103.71428571428571,3,10,0
2025-10-24,76.0,184.7,47.8,16.0,1.88,30.8,23.1,82.5,3.76,0.0,0.51,0.7,0.16,130,133.0,133.0,109.85714285714286,4,10,0
2025-10-25,83.2,190.7,54.5,19.0,2.01,40.2,24.6,81.9,4.01,1.3,0.61,0.48,0.17,153,130.0,106.0,109.42857142857143,5,10,0
2025-10-26,35.9,77.8,25.7,9.0,1.1,12.2,20.2,80.5,3.67,2.9,0.36,0.49,0.16,65,153.0,91.0,116.14285714285714,6,10,0
2025-10-27,61.0,156.7,40.4,13.7,1.64,25.9,22.8,85.0,4.76,0.0,0.48,0.6,0.17,116,65.0,105.0,112.42857142857143,0,10,0
2025-10-28,60.6,122.6,41.5,13.3,1.52,21.6,22.8,80.6,4.07,0.0,0.44,0.64,0.16,104,116.0,87.0,114.0,1,10,0
2025-10-29,61.9,136.5,37.1,13.7,1.62,20.4,23.5,86.0,4.19,0.0,0.43,0.67,0.17,109,104.0,114.0,116.42857142857143,2,10,0
2025-10-30,63.8,141.8,40.5,13.1,1.3,16.8,20.4,84.3,4.13,11.7,0.44,0.7,0.17,105,109.0,133.0,115.71428571428571,3,10,0
2025-10-31,58.3,138.9,39.7,13.4,1.66,21.5,20.2,83.3,4.41,0.0,0.53,0.66,0.17,111,105.0,130.0,111.71428571428571,4,10,0
2025-11-01,57.3,136.2,42.2,14.2,1.43,17.8,22.9,79.9,3.79,0.0,0.55,0.52,0.17,106,111.0,153.0,109.0,5,11,0
2025-11-02,54.7,133.6,39.0,12.2,1.57,25.2,22.5,81.5,2.88,0.4,0.31,0.54,0.16,98,106.0,65.0,102.28571428571429,6,11,0
2025-11-03,62.2,145.9,45.0,13.9,1.61,22.6,22.3,88.0,3.88,0.0,0.57,0.64,0.17,110,98.0,116.0,107.0,0,11,0
2025-11-04,77.8,187.7,51.1,18.5,1.92,30.2,22.4,86.7,3.22,0.0,0.5,0.76,0.16,143,110.0,104.0,106.14285714285714,1,11,0
2025-11-05,64.5,156.0,47.2,14.6,1.71,29.0,20.8,79.2,3.27,0.0,0.53,0.61,0.16,122,143.0,109.0,111.71428571428571,2,11,0
2025-11-06,70.3,163.0,49.1,16.0,1.68,23.0,22.1,84.5,3.92,0.0,0.61,0.69,0.17,123,122.0,105.0,113.57142857142857,3,11,0
2025-11-07,72.6,165.5,50.9,15.3,1.94,25.3,22.1,87.6,4.29,0.0,0.57,0.77,0.16,128,123.0,111.0,116.14285714285714,4,11,0
2025-11-08,66.5,167.2,45.4,15.5,1.73,27.6,20.5,75.4,3.53,0.0,0.52,0.55,0.18,126,128.0,106.0,118.57142857142857,5,11,0
2025-11-09,50.3,105.4,33.3,8.4,1.38,19.3,24.3,86.3,3.68,0.0,0.34,0.55,0.17,84,126.0,98.0,121.42857142857143,6,11,0
2025-11-10,62.7,138.4,35.4,12.3,1.54,24.0,22.1,80.2,4.49,0.0,0.43,0.68,0.16,108,84.0,110.0,119.42857142857143,0,11,0
2025-11-11,65.0,144.7,44.0,13.3,1.73,26.2,19.6,86.2,3.59,0.3,0.5,0.69,0.16,117,108.0,143.0,119.14285714285714,1,11,0
2025-11-12,68.5,161.2,46.8,15.3,1.71,26.8,22.3,79.4,4.98,0.0,0.53,0.76,0.17,124,117.0,122.0,115.42857142857143,2,11,1
2025-11-13,66.6,147.0,46.5,15.3,1.75,26.8,19.7,74.0,3.73,5.8,0.49,0.62,0.18,118,124.0,123.0,115.71428571428571,3,11,0
2025-11-14,91.4,213.3,62.0,19.7,2.38,38.9,22.3,74.8,2.31,0.0,0.53,0.77,0.16,171,118.0,128.0,115.0,4,11,0
2025-11-15,61.5,147.2,41.6,12.0,1.59,20.3,22.8,83.0,3.8,2.0,0.55,0.53,0.16,112,171.0,126.0,121.14285714285714,5,11,0
2025-11-16,50.0,135.2,36.3,14.0,1.48,21.9,19.8,83.9,3.55,0.0,0.37,0.57,0.17,103,112.0,84.0,119.14285714285714,6,11,0
2025-11-17,70.0,165.4,47.4,15.2,1.83,22.9,22.4,77.9,4.07,0.0,0.51,0.7,0.17,122,103.0,108.0,121.85714285714286,0,11,0
2025-11-18,77.5,190.9,55.8,16.8,2.25,33.3,21.5,85.5,3.67,0.0,0.56,0.75,0.16,149,122.0,117.0,123.85714285714286,1,11,0
2025-11-19,75.3,170.6,48.9,16.2,1.79,26.3,22.0,73.8,3.16,1.1,0.57,0.66,0.17,129,149.0,124.0,128.42857142857142,2,11,0
